news_id,Title,Link,Content,Category,Reporter,Date
11,"갤탭S9, 업그레이드 된 ‘몰입감’…미술작가도 만족한 S펜 필기감[블로터언팩]",/news/articleView.html?idxno=605207,"“갤럭시 탭 S9 시리즈는 엔터테인먼트 시청, 창작 활동의 사용성 및 향상된 생산성 경험에서 차원이 다른 프리미엄 태블릿 경험을 제공하는 제품”노태문 삼성전자 MX사업부장(사장)이 지난달 26일 ‘갤럭시 언팩’에서 플래그십 태블릿 PC ‘갤럭시 탭 S9(이하 S9)’ 시리즈를 선보이며 한 말이다. 노 사장이 강조한 시청, 창작 활동의 사용성 관점에서 지난 1주일 간 S9 최상위 모델인 S9 울트라를 써봤다.S9 울트라의 가장 큰 장점은 디스플레이다. 디스플레이 크기는 36.99cm이며 화면비를 16:10으로 맞춰 시원하면서도 몰입감",테크기기,김수민 기자,2023.08.10 14:25
12,혼자가 아닌 팀으로..사족보행 로봇 '애니멀' 우주로 가다[퓨처클립],/news/articleView.html?idxno=604109,우주 탐사 로버(Rover)는 상대적으로 작은 바퀴를 이용해 이동하기 때문에 울퉁불퉁한 지형이나 경사가 있는 지형에서는 극복하기 어려운 점이 있었습니다.이 점을 극복하기 위해 유럽우주국(ESA)은 곧 진행 예정인 달 탐사 프로젝트와 화성 등 다른 행성 탐사 임무를 더 효과적으로 수행할 수 있는 디자인을 공모했습니다. 그 결과 스위스 취리히연방공과대(ETH Zurich) 연구팀이 개발한 애니멀(ANYmal) 로봇이 선정돼 추가 개발을 위한 연구비를 지원받게 됐습니다.스위스 연구팀은 한 대의 탐사 로봇을 우주로 보내는 것이 아니라 여러,테크기기,박진화 기자,2023.07.19 06:00
13,라이딩 도중 눈앞에 내비 정보가?..BMW '스마트 글래스'[퓨처클립],/news/articleView.html?idxno=603995,"BMW 모터사이클 브랜드, BMW 모토라드가 스마트글래스를 공개했습니다.해당 제품은 자동차의 헤드업 디스플레이(HUD) 기술에서 착안했습니다. 내비게이션, 속도 등 주행 중 필요한 각종 정보를 실시간으로 표시해 주고, 이를 통해 시선 이동을 최소화해 안전한 라이딩을 돕는다고 합니다.자세한 내용은 의 [퓨처클립] 영상을 통해 확인하세요.",테크기기,박진화 기자,2023.07.15 12:00
14,트랜스포머 현실화 멀지 않았다...다각형 변신 로봇 '모리(Mori)3' [퓨처클립],/news/articleView.html?idxno=603581,"스위스 로잔연방공과대(EPFL) 연구팀은 2D 삼각형 형태에서 다양한 3D 물체로 변신 가능한 모듈러 로봇 ‘모리(Mori) 3’을 개발했습니다.모리3 로봇의 개별 모듈은 삼각형 모양이며, 각각의 모듈은 ‘폴리곤 메싱(poligon meshing)’이라고 불리는 프로세스를 통해 다양한 크기와 구성의 폴리곤(다각형) 형태로 변형됩니다. 새로운 환경과 보이지 않는 작업에 적응하기 위해 크기, 모양까지 환경에 맞게 조립하고 분해할 수 있다고 합니다.자세한 내용은 의 [퓨처클립] 영상을 통해 확인하세요.",테크기기,박진화 기자,2023.07.06 18:30
15,"박자 칼같은 로봇 지휘자 ‘에버6’, 인간을 대체할까?[퓨처클립]",/news/articleView.html?idxno=603358,"한국생산기술연구원이 개발한 안드로이드 로봇 '에버6'을 소개합니다팔과 목,어깨에 달린 20개의 모터로 유연하고 섬세한 지휘를 선보이는데요. 아직은 사람과의 협업을 통해서 완성될 수 있다고 합니다.최수열 지휘자는 실제로 연습 과정에서 ‘에버6’의 지휘가 이상하게 빠르게 느껴질 때도 있었는데, 실제로 박자를 세보니 그렇지 않더라고요. 덕분에 연주자들끼리 오히려 더 교감하며 연주한다는 걸 확인했습니다.” 라고 말했습니다.자세한 내용은 의 [퓨처클립] 영상을 통해 확인하세요.",테크기기,박진화 기자,2023.07.02 12:04
16,"LGU+, 카카오모빌리티와 500억원 규모 전기차 충전 JV 설립",/news/articleView.html?idxno=603359,LG유플러스가 카카오모빌리티와 전기차 충전 서비스 사업을 위해 JV(합작법인)를 설립한다. LG유플러스는 30일 카카오모빌리티와 전기차 충전시장의 경쟁력 확보를 위해 JV를 설립한다고 공시했다.출자 방식은 LG유플러스가 발행주식 총수의 50%+1주(1000만1주)를 취득하고 카카오모빌리티가 50%(1000만주)를 취득해 JV를 설립한다. 출자금액은 각각 약 250억원 규모다. 다만 아직 JV의 명칭이나 가칭은 정해지지 않았다.회사측은 공시를 통해 “전기차 충전시장의 경쟁력 확보를 위해 당사와 카카오모빌리티가 전기차 충전서비스업을 주,테크기기,김수민 기자,2023.06.30 17:36
17,작게 접어 갖고 다니는 여행용 '태양 전지판'[퓨처클립],/news/articleView.html?idxno=603160,"신생기업 'Sego(세고)'가 여행용 태양 전지판을 만들었습니다.가볍고 어디든 쉽게 배치할 수 있으며 눈, 우박, 강풍마저 견딜 수 있다고 합니다. 제품은 Kickstarter(킥스타터)의 크라우드 펀딩 캠페인을 통해 제공될 예정이라고 합니다. 자세한 내용은 의 [퓨처클립] 영상을 통해 확인하세요.",테크기기,박진화 기자,2023.06.28 06:00
18,27인치 LCD 탑재한 LG전자 액자형 에어컨 '아트쿨'[퓨처클립],/news/articleView.html?idxno=603089,"LG전자가 LCD 액자형 에어컨 ‘LG 휘센 오브제컬렉션 아트쿨’을 출시했습니다.액자처럼 보이는 부분은 풀 HD 해상도의 디스플레입니다. 이 디스플레이를 본인의 취향대로 꾸미면서 인테리어 효과를 줄 수 있다고 합니다.그뿐만 아니라, 스마트폰의 화면을 디스플레이에 띄울 수 있다고 합니다. 자세한 내용은 의 [퓨처클립] 영상을 통해 확인하세요.",테크기기,박진화 기자,2023.06.27 06:00
19,배터리·바스켓 '떼었다 붙이는' 스웨덴 전기 바이크[퓨처클립],/news/articleView.html?idxno=602935,"스웨덴의 순수 전기 바이크 브랜드, 케이트(CAKE)는 개별 맞춤 제작이 가능한 실용적인 바이크로 알려져 있습니다.'가볍고, 조용하고, 깨끗함'을 핵심 가치로 추구하는 이 회사는 북유럽 특유의 간결한 디자인과 초경량, 고성능이 특징입니다. 자세한 내용은 의 [퓨처클립] 영상을 통해 확인하세요.",테크기기,박진화 기자,2023.06.22 13:06
20,"스포츠 혁명을 일으킬 휴먼 스케일 로봇, ESTHER [퓨처클립]",/news/articleView.html?idxno=602751,스포츠에서도 휴먼 스케일 로봇이 등장했습니다. 바로 훨체어 테니스용 로봇인데요. School of Interactive Computing의 로봇 공학 부교수인 Gombolay는 지난 2년 동안 그의 열정적인 프로젝트를 구축했다고 합니다. 자세한 내용은 의 [퓨처클립] 영상을 통해 확인하세요.,테크기기,박진화 기자,2023.06.17 13:00
21,90kg 짐도 번쩍…웨어러블 로봇 '가디언 XO' 입으면 당신도 아이언맨[퓨처클립],/news/articleView.html?idxno=602604,"이 로봇은 미국 솔트레이크 시티에 위치한 산업용 웨어러블 로봇 전문 업체인 '사코스 로보틱스(Sarcos Robotics)'에서 만든 ‘가디언 XO’입니다.무거운 물건을 들어 올리거나 높은 곳에서 전동공구 작업할 때 활용할 수 있습니다.사람이 접근하기 어려운 곳에서 원격 작업을 수행 하는 '가디언 XT' 로봇도 있답니다.사코스 로보틱스는 지난 2000년 이후 미 국방성 산하 DARPA(고등방위계획국)의 지원을 받아 웨어러블 로봇 개발을 추진했어요. 마이크로소프트, GE 등의 투자를 받아 ‘가디언 XO’의 개발에 필요한 자금을 충당했",테크기기,박진화 기자,2023.06.14 06:00
22,디스플레이 없는 'AR 노트북' 공개...100인치 가상화면이 눈앞에[퓨처클립],/news/articleView.html?idxno=602557,"이스라엘의 컴퓨터 제조기업 사이트풀(Sightful)이 세계 최초의 증강현실(AR) 노트북을 발표했습니다. 2.54m 크기의 가상 스크린에 6개 이상의 창을 켜두고 작업이 가능하다고 하는데요.터치패드로 세 손가락을 위아래로 스와이프하면 구부러진 '화면'이 더 가까워지거나 더 멀어지고 합니다. 사용성에 도움이 될 뿐만 아니라 필요에 따라 몸을 기울여 특정 창을 더 자세히 볼 수도 있습니다.100인치나 되는 대화면으로 공간의 제약 없이 사용할 수 있다는 점이 매력적으로 보입니다. 다만 작지 않고, 무게는 약 1.4kg로 액정이 없다고",테크기기,박진화 기자,2023.06.13 00:17
23,"KT, MS ‘서피스 프로9 5G’ 단독 출시…그 스펙은?",/news/articleView.html?idxno=602531,KT가 5G 통신이 지원되는 마이크로소프트(MS)의 프리미엄급 노트북을 단독 출시한다.KT는 공식 온라인몰 ‘KT샵’에서 MS의 ‘서피스 프로9 5G’를 단독 출시한다고 12일 밝혔다. KT에서 최초로 공식 출시되는 서피스 프로다.서피스 프로9 5G는 MS가 만든 빠른 멀티태스킹 기반의 업무용에 적합한 2in1 프리미엄 노트북이다. 플래티넘 색상 1종으로 출시되며 키보드를 탈부착할 수 있어 휴대성도 갖췄다. 주요 스펙으로는 △5G 통신 지원 △윈도 11 프로 탑재 △SQ3 프로세서 △13인치 고해상도 FHD 디스플레이 △8GB 메모,테크기기,김수민 기자,2023.06.12 10:17
24,"KT서브마린, LIG넥스원과 167억원 규모 원거리탐지 음향센서 공급계약",/news/articleView.html?idxno=602528,KT서브마린은 LIG넥스원과 동해지역(A해역) 원거리탐지용 음향센서 수중설치 계약을 체결했다고 12일 공시했다.계약금액은 166억6800만원으로 이는 전년 매출 대비 39%에 해당하는 규모다. 계약기간은 2025년 1월 20일까지다.,테크기기,조재훈 기자,2023.06.12 09:42
25,"KT, ‘올인원’ 형태로 만든 셋톱박스…무엇이 달라졌나",/news/articleView.html?idxno=601926,"KT가 IPTV 셋톱박스, 무선인터넷 공유기, AI(인공지능) 스피커 등을 통합한 ‘지니 TV 올인원 사운드바(이하 사운드바)를 선보였다. 하나의 단말기에 다양한 기능을 담아 편의성을 높였으며 고화질·고음질 등 TV 시청 환경까지 고려한 것이 특징이다.KT는 이달 23일 서울 종로구 인사동에 위치한 갤러리에서 체험 행사를 열고 사운드바에 적용된 기술과 성능을 소개했다.먼저 디자인 측면에서 사운드바는 IPTV 셋톱박스, 무선인터넷 공유기, AI스피커를 하나로 통합한 올인원으로 만든 것이 가장 큰 특징이다. 3개의 단말기를 하나로 통합",테크기기,김수민 기자,2023.05.24 09:00
26,"HP, '오멘 16 슬림' 공개…韓 게이밍 PC 선두 굳히기",/news/articleView.html?idxno=601677,"HP가 게이밍 노트북 오멘(OMEN) 라인업 중 가장 얇은 제품인 '오멘 슬림 16'을 공개하고 게이밍 PC 선두 주자로서의 입지를 굳히기 위한 향후 비전과 국내 사업 전략 청사진을 밝혔다. '오멘' 중 가장 슬림…현대인 라이프스타일 겨냥HP는 16일 서울 종로구에 위치한 e-스포츠 경기장 롤파크에서 기자 간담회를 열고 초경량 프리미엄 게이밍 노트북 'HP 오멘 16 슬림(OMEN 16 Slim)'을 공개하고, 국내 게이밍 사업 전략을 발표했다. 이날 간담회에는 김대환 HP 코리아 대표, 소병홍 퍼스널 시스템 카테고리 전무를 비롯한",테크기기,안신혜 기자,2023.05.16 14:30
27,"적자 시달리던 '빅솔론', 1Q 흑자전환",/news/articleView.html?idxno=601383,"지난해 4분기 적자를 기록했던 코스닥 상장사 '빅솔론'이 올 1분기 흑자전환에 성공했다. 9일 빅솔론이 발표한 1분기 연결재무제표 기준 영업(잠정)실적에 따르면 해당 시기 빅솔론은 매출 약 309억원, 영업이익 약 37억원, 당기순이익 약 49억원을 기록했다.지난해 4분기 적자(영업손실 8억3400만원)를 기록했던 빅솔론은 한 분기 만에 흑자전환을 달성했다. 같은 기간 매출도 전분기 대비 15.0% 증가하며 300억원대를 회복했다.다만 빅솔론의 1분기 실적은 지난해 같은 기간과 비교해 매출, 영업이익이 각각 5.6%, 36.7% 감",테크기기,채성오 기자,2023.05.09 10:22
28,캐논 '이미지 포뮬러 R50'이면 5분만에 소설책 스캔 뚝딱 [블로터언팩],/news/articleView.html?idxno=601107,#종이 서류를 들고 다니는 것은 여간 번거로운 일이 아니다. 출퇴근길 대중교통을 이용하며 업무 관련 서류를 읽어보려고 해도 만원 지하철에서 종이를 꺼내드는 것은 쉽지 않다. 서류를 이미지로 만들어 스마트폰에 넣고 다니고 싶은 마음이 굴뚝같다. #가전제품 설명서나 지금 당장은 보지 않지만 언젠가는 참고할 것 같은 종이 서류들은 어느 가정이나 한 구석에 자리를 차지하고 있는 경우가 많다. 이 서류들을 이미지나 PDF 파일로 만들어 스마트폰에 보관하거나 클라우드에 옮겨놓는다면 잃어버릴 염려도 없고 필요할 때 간편하게 꺼내볼 수 있다. 이,테크기기,박현준 기자,2023.05.01 09:00
29,"삼성전자도 직격탄 맞은 반도체 불황…""메모리 기업 '재무완충력' 주목해야""",/news/articleView.html?idxno=600770,"유례없는 업황 다운사이클(하강 국면)으로 수조원대 적자를 낸 메모리반도체 기업에 신용도 하락 우려가 증폭되고 있다. 호황과 불황을 수년 주기로 오가며 실적 변동성이 큰 산업 특성상 다운사이클에도 견딜 수 있는 재무완충력을 갖춘 기업에 주목해야 한다는 목소리가 나온다.김정훈 한국신용평가 수석애널리스트는 이달 17일 ‘예상보다 깊은 메모리반도체 업황 침체, 극복 가능한가?’를 주제로 진행한 웹캐스트에서 다운사이클 속 기업 신용도를 살피는 지표로 재무완충력과 투자 및 재무정책 기조, 시장지위와 원가경쟁력 등 세 가지를 제시했다. 인공지능",테크기기,이진솔 기자,2023.04.18 17:41
30,갤럭시북3 울트라' 메인보드 설계만 8번 한 이유...'휴대성',/news/articleView.html?idxno=50579,"삼성전자가 최근 출시한 프리미엄 노트북 갤럭시북3 울트라는 '휴대성'을 위해 모든 부분이 처음부터 다시 설계됐다.삼성전자는 23일 서울 중구 삼성전자 기자실에서 '갤럭시 북3 울트라' 개발 과정에 대한 미디어 브리핑을 진행했다. 발표를 맡은 심황윤 삼성전자 MX사업부 노트북 하드웨어개발 2그룹장(상무)은 ""최고의 성능을 보장하면서도 충분한 휴대성을 제공하는 것이 중점 과제였다""며 ""메인보드만 총 8번 재설계하며 모든 것을 처음부터 다시 고민했다""고 말했다.심 상무는 ""노트북의 이동성을 보장할 수 있는 무게는 (어댑터를 포함해) 2k",테크기기,정병연 기자,2023.03.23 16:07
31,목에 걸어도 부담없다' 입문자용 미러리스 캐논 'EOS R50'[블로터언팩],/news/articleView.html?idxno=50495,"목에 걸고 다니는 데 부담이 없다는 것만으로도 캐논 미러리스 카메라 'EOS R50'을 선택할 이유는 충분하다. 물론 스마트폰과 비교해 높은 수준의 사진 · 영상을 찍기 위한 카메라의 필수 기능도 모두 갖췄다. 이제 막 스마트폰을 졸업하고 본격적으로 카메라를 활용해보려는 예비 크리에이터라면 복잡하게 생각할 것 없다. 훗날 EOS R50을 자유자재로 다루는 날이 온다면 그때가 바로 중급자용으로 나아갈 타이밍이라고 여기면 된다.캐논의 EOS R50 소개 영상은 ""작고 가볍다(Compact and lightweight), 더 쉽게 더 아",테크기기,정병연 기자,2023.03.21 17:41
32,"‘역대 가장 얇은’ LG 그램 신제품, 그 성능은 어떨까?",/news/articleView.html?idxno=50321,"LG전자의 프리미엄 노트북 ‘LG 그램’이 더 얇고 가벼워졌다. 역대급 얇기와 대화면에도 무게를 줄였지만, OLED(유기발광 다이오드) 디스플레이와 최신 부대 장치들을 탑재하면서 성능은 향상시킨 것이 특징이다.LG전자는 16일 그램 신제품(모델명: 15Z90RT)을 출시한다고 밝혔다. 신제품의 무게는 역대 그램 가운데 가장 얇은 10.9mm이다. 같은 화면 크기의 그램보다 4.4mm 더 줄었다. 무게는 990g으로 15.6형(대각선 길이 39.6cm) 대화면을 탑재하고도 1kg을 넘지 않는다.제품 외관 소재는 ‘마그네슘합금’을 사용",테크기기,김수민 기자,2023.03.16 10:25
33,캐논이 갤럭시·아이폰에 대응하는 법…'작고 강한' 미러리스,/news/articleView.html?idxno=50075,광학전문기업 캐논이 카메라 성능을 대폭 끌어올린 스마트폰에 대응하는 전략은 휴대성을 강화하면서 성능까지 챙긴 '작고 강한 미러리스'로 요약된다. 미러리스 카메라란 DSLR(디지털 일안 반사식) 카메라에서 반사거울과 프리즘을 없앤 카메라를 말한다. DSLR보다 카메라의 크기가 작고 가볍다. DSLR 카메라에 있는 뷰파인더 대신 액정표시장치(LCD)를 통해 피사체를 확인한 후 사진이나 영상을 찍을 수 있다.캐논의 미러리스 카메라 브랜드는 'EOS R'이다. 캐논은 최근 수년간 EOS R 시리즈의 미러리스 카메라를 내놓으며 지속적으로 크,테크기기,박현준 기자,2023.03.12 18:00
34,"삼성 갤럭시S23, 전작보다 더 비싼 이유 있었다",/news/articleView.html?idxno=50106,"삼성전자의 신형 스마트폰 갤럭시S23의 출고가가 전작 대비 15만원가량 늘어난 배경은 스마트폰에 사용되는 퀄컴의 칩 등 원재료 가격의 상승이 손꼽힌다.11일 삼성전자의 사업보고서에 따르면 스마트폰의 주요 원재료인 모바일AP(애플리케이션 프로세서) 가격이 전년 대비 약 77% 상승한 것으로 나타났다. 이에 따라 AP 총 매입액도 2021년 6조2116억원에서 2022년 9조3138억원으로 49.9% 늘었다.AP는 중앙처리장치(CPU), 그래픽처리장치(GPU) 등 기능이 통합된 시스템 반도체를 말한다. 주로 모바일 제품용으로 개발돼왔다",테크기기,김수민 기자,2023.03.11 07:00
35,크리에이터가 스마트폰 말고 캐논 미러리스 'EOS R8·R50' 선택하면 무엇이 좋나,/news/articleView.html?idxno=47609,캐논코리아가 콘텐츠 크리에이터를 타깃으로 공개한 미러리스 카메라 신제품 2종은 풀프레임을 기반으로 보다 심도 깊은 영상을 촬영할 수 있는 점이 스마트폰과의 주요 차별점으로 꼽힌다.캐논코리아가 9일 공개한 미러리스 카메라 EOS R8과 EOS R50은 △풀프레임 △렌즈를 활용한 다양한 앵글 △휴대성 등이 특징이다. 크리에이터들은 삼성전자의 갤럭시 S 시리즈나 애플의 아이폰 시리즈 등의 스마트폰을 활용해 영상을 촬영하는 경우가 늘었다. 이에 전통의 광학 기술 전문 기업 캐논은 스마트폰이 태생적으로 디지털 카메라를 넘볼 수 없는 화질과,테크기기,박현준,2023.02.09 13:18
36,"구글, 스마트폰 '픽셀7' 시리즈와 '픽셀워치' 첫 공개",/news/articleView.html?idxno=46126,구글이 6일(현지시간) 신제품 공개 행사를 통해 스마트폰 ‘픽셀7’ 시리즈와 구글의 첫 스마트워치 ‘픽셀워치’를 선보였다. 구글은 이날 뉴욕에서 '메이드 바이 구글(Made by Google)' 행사를 열었다.이날 공개된 픽셀7은 6.3인치 HD+해상도(2400 x 1080) 90Hz 디스플레이를 적용한다. 메모리 용량은 8GB다. 후면에는 5000만 화소 표준 카메라와 1200만 화소 초광각 카메라로 구성됐다. 전면 카메라는 전작에서 한층 업그레이드된 1200만 화소 카메라를 갖췄다. 본체는 100% 재활용된 알루미늄으로 제작됐다,테크기기,최경미,2022.10.07 09:14
37,"“애플, 이번 달 출시하는 아이패드·맥북 프로 행사 없이 공개”",/news/articleView.html?idxno=46064,"애플이 이번 달 출시되는 신제품 공개를 위해 별도의 행사를 개최하지 않을 것이라는 전망이 나왔다. 2일(현지시간) 은 애플이 새 아이패드 프로, 맥 미니, 맥북 프로를 개발 중이며 이 중 일부는 이번 달에 공개될 것이라고 보도했다. 다만 해당 제품들은 보도 자료, 웹사이트 업데이트나 언론인 대상 브리핑을 통해 발표될 것이라는 설명이다.블룸버그는 “아이폰14가 공개된 지난달 행사가 올해 애플이 마지막으로 여는 주요 행사였을 것”이라고 전했다.일부 전문가는 애플이 두 번째 가을 행사를 열어 일부 신제품을 공개할 것으로 예",테크기기,최경미,2022.10.03 10:04
